region;variable;groupe;valeur;Année
75 - NOUVELLE-AQUITAINE;ACTE(VGP);65 ans et plus;2801;2022
75 - NOUVELLE-AQUITAINE;DOSES(J07E1);65 ans et plus;6167;2022
76 - OCCITANIE;ACTE(VGP);65 ans et plus;2917;2022
76 - OCCITANIE;DOSES(J07E1);65 ans et plus;5930;2022
84 - AUVERGNE-RHONE-ALPES;ACTE(VGP);65 ans et plus;2630;2022
84 - AUVERGNE-RHONE-ALPES;DOSES(J07E1);65 ans et plus;5807;2022
93 - PROVENCE-ALPES-COTES-D'AZUR;ACTE(VGP);65 ans et plus;2585;2022
93 - PROVENCE-ALPES-COTES-D'AZUR;DOSES(J07E1);65 ans et plus;5762;2022
94 - CORSE;ACTE(VGP);65 ans et plus;1055;2022
94 - CORSE;DOSES(J07E1);65 ans et plus;4890;2022
11 - ILE-DE-France;ACTE(VGP);moins de 65 ans;262;2023
11 - ILE-DE-France;DOSES(J07E1);moins de 65 ans;425;2023
24 - CENTRE-VAL-DE-LOIRE;ACTE(VGP);moins de 65 ans;293;2023
24 - CENTRE-VAL-DE-LOIRE;DOSES(J07E1);moins de 65 ans;521;2023
27 - BOURGOGNE-FRANCHE-COMTE;ACTE(VGP);moins de 65 ans;232;2023
27 - BOURGOGNE-FRANCHE-COMTE;DOSES(J07E1);moins de 65 ans;473;2023
28 - NORMANDIE;ACTE(VGP);moins de 65 ans;327;2023
28 - NORMANDIE;DOSES(J07E1);moins de 65 ans;578;2023
32 - HAUTS-DE-France;ACTE(VGP);moins de 65 ans;259;2023
32 - HAUTS-DE-France;DOSES(J07E1);moins de 65 ans;560;2023
44 - GRAND-EST;ACTE(VGP);moins de 65 ans;249;2023
44 - GRAND-EST;DOSES(J07E1);moins de 65 ans;478;2023
52 - PAYS-DE-LA-LOIRE;ACTE(VGP);moins de 65 ans;274;2023
52 - PAYS-DE-LA-LOIRE;DOSES(J07E1);moins de 65 ans;500;2023
53 - BRETAGNE;ACTE(VGP);moins de 65 ans;313;2023
53 - BRETAGNE;DOSES(J07E1);moins de 65 ans;578;2023
75 - NOUVELLE-AQUITAINE;ACTE(VGP);moins de 65 ans;257;2023
75 - NOUVELLE-AQUITAINE;DOSES(J07E1);moins de 65 ans;517;2023
76 - OCCITANIE;ACTE(VGP);moins de 65 ans;242;2023
76 - OCCITANIE;DOSES(J07E1);moins de 65 ans;458;2023
84 - AUVERGNE-RHONE-ALPES;ACTE(VGP);moins de 65 ans;222;2023
84 - AUVERGNE-RHONE-ALPES;DOSES(J07E1);moins de 65 ans;459;2023
93 - PROVENCE-ALPES-COTES-D'AZUR;ACTE(VGP);moins de 65 ans;204;2023
93 - PROVENCE-ALPES-COTES-D'AZUR;DOSES(J07E1);moins de 65 ans;444;2023
94 - CORSE;ACTE(VGP);moins de 65 ans;89;2023
94 - CORSE;DOSES(J07E1);moins de 65 ans;361;2023
11 - ILE-DE-France;ACTE(VGP);65 ans et plus;3593;2023
11 - ILE-DE-France;DOSES(J07E1);65 ans et plus;5403;2023
24 - CENTRE-VAL-DE-LOIRE;ACTE(VGP);65 ans et plus;3388;2023
24 - CENTRE-VAL-DE-LOIRE;DOSES(J07E1);65 ans et plus;5923;2023
27 - BOURGOGNE-FRANCHE-COMTE;ACTE(VGP);65 ans et plus;2825;2023
27 - BOURGOGNE-FRANCHE-COMTE;DOSES(J07E1);65 ans et plus;5552;2023
28 - NORMANDIE;ACTE(VGP);65 ans et plus;3517;2023
28 - NORMANDIE;DOSES(J07E1);65 ans et plus;5994;2023
32 - HAUTS-DE-France;ACTE(VGP);65 ans et plus;2659;2023
32 - HAUTS-DE-France;DOSES(J07E1);65 ans et plus;5819;2023
44 - GRAND-EST;ACTE(VGP);65 ans et plus;2892;2023
44 - GRAND-EST;DOSES(J07E1);65 ans et plus;5462;2023
52 - PAYS-DE-LA-LOIRE;ACTE(VGP);65 ans et plus;3164;2023
52 - PAYS-DE-LA-LOIRE;DOSES(J07E1);65 ans et plus;5793;2023
53 - BRETAGNE;ACTE(VGP);65 ans et plus;3305;2023
53 - BRETAGNE;DOSES(J07E1);65 ans et plus;6068;2023
75 - NOUVELLE-AQUITAINE;ACTE(VGP);65 ans et plus;3019;2023
75 - NOUVELLE-AQUITAINE;DOSES(J07E1);65 ans et plus;5833;2023
76 - OCCITANIE;ACTE(VGP);65 ans et plus;3030;2023
76 - OCCITANIE;DOSES(J07E1);65 ans et plus;5631;2023
84 - AUVERGNE-RHONE-ALPES;ACTE(VGP);65 ans et plus;2758;2023
84 - AUVERGNE-RHONE-ALPES;DOSES(J07E1);65 ans et plus;5480;2023
93 - PROVENCE-ALPES-COTES-D'AZUR;ACTE(VGP);65 ans et plus;2719;2023
93 - PROVENCE-ALPES-COTES-D'AZUR;DOSES(J07E1);65 ans et plus;5432;2023
94 - CORSE;ACTE(VGP);65 ans et plus;1195;2023
94 - CORSE;DOSES(J07E1);65 ans et plus;4356;2023
11 - ILE-DE-France;ACTE(VGP);65 ans et plus;3930;2024
11 - ILE-DE-France;DOSES(J07E1);65 ans et plus;5433;2024
11 - ILE-DE-France;ACTE(VGP);moins de 65 ans;320;2024
11 - ILE-DE-France;DOSES(J07E1);moins de 65 ans;469;2024
24 - CENTRE-VAL-DE-LOIRE;ACTE(VGP);65 ans et plus;3741;2024
24 - CENTRE-VAL-DE-LOIRE;DOSES(J07E1);65 ans et plus;5880;2024
24 - CENTRE-VAL-DE-LOIRE;ACTE(VGP);moins de 65 ans;347;2024
24 - CENTRE-VAL-DE-LOIRE;DOSES(J07E1);moins de 65 ans;543;2024
27 - BOURGOGNE-FRANCHE-COMTE;ACTE(VGP);65 ans et plus;3109;2024
27 - BOURGOGNE-FRANCHE-COMTE;DOSES(J07E1);65 ans et plus;5490;2024
27 - BOURGOGNE-FRANCHE-COMTE;ACTE(VGP);moins de 65 ans;277;2024
27 - BOURGOGNE-FRANCHE-COMTE;DOSES(J07E1);moins de 65 ans;503;2024
28 - NORMANDIE;ACTE(VGP);65 ans et plus;3882;2024
28 - NORMANDIE;DOSES(J07E1);65 ans et plus;5908;2024
28 - NORMANDIE;ACTE(VGP);moins de 65 ans;396;2024
28 - NORMANDIE;DOSES(J07E1);moins de 65 ans;610;2024
32 - HAUTS-DE-France;ACTE(VGP);65 ans et plus;2998;2024
32 - HAUTS-DE-France;DOSES(J07E1);65 ans et plus;5789;2024
32 - HAUTS-DE-France;ACTE(VGP);moins de 65 ans;316;2024
32 - HAUTS-DE-France;DOSES(J07E1);moins de 65 ans;590;2024
44 - GRAND-EST;ACTE(VGP);65 ans et plus;3246;2024
44 - GRAND-EST;DOSES(J07E1);65 ans et plus;5429;2024
44 - GRAND-EST;ACTE(VGP);moins de 65 ans;304;2024
44 - GRAND-EST;DOSES(J07E1);moins de 65 ans;514;2024
52 - PAYS-DE-LA-LOIRE;ACTE(VGP);65 ans et plus;3624;2024
52 - PAYS-DE-LA-LOIRE;DOSES(J07E1);65 ans et plus;5824;2024
52 - PAYS-DE-LA-LOIRE;ACTE(VGP);moins de 65 ans;342;2024
52 - PAYS-DE-LA-LOIRE;DOSES(J07E1);moins de 65 ans;543;2024
53 - BRETAGNE;ACTE(VGP);65 ans et plus;3747;2024
53 - BRETAGNE;DOSES(J07E1);65 ans et plus;6097;2024
53 - BRETAGNE;ACTE(VGP);moins de 65 ans;390;2024
53 - BRETAGNE;DOSES(J07E1);moins de 65 ans;627;2024
75 - NOUVELLE-AQUITAINE;ACTE(VGP);65 ans et plus;3367;2024
75 - NOUVELLE-AQUITAINE;DOSES(J07E1);65 ans et plus;5803;2024
75 - NOUVELLE-AQUITAINE;ACTE(VGP);moins de 65 ans;319;2024
75 - NOUVELLE-AQUITAINE;DOSES(J07E1);moins de 65 ans;554;2024
76 - OCCITANIE;ACTE(VGP);65 ans et plus;3400;2024
76 - OCCITANIE;DOSES(J07E1);65 ans et plus;5630;2024
76 - OCCITANIE;ACTE(VGP);moins de 65 ans;299;2024
76 - OCCITANIE;DOSES(J07E1);moins de 65 ans;492;2024
84 - AUVERGNE-RHONE-ALPES;ACTE(VGP);65 ans et plus;3116;2024
84 - AUVERGNE-RHONE-ALPES;DOSES(J07E1);65 ans et plus;5461;2024
84 - AUVERGNE-RHONE-ALPES;ACTE(VGP);moins de 65 ans;274;2024
84 - AUVERGNE-RHONE-ALPES;DOSES(J07E1);moins de 65 ans;491;2024
93 - PROVENCE-ALPES-COTES-D'AZUR;ACTE(VGP);65 ans et plus;3122;2024
93 - PROVENCE-ALPES-COTES-D'AZUR;DOSES(J07E1);65 ans et plus;5470;2024
93 - PROVENCE-ALPES-COTES-D'AZUR;ACTE(VGP);moins de 65 ans;262;2024
93 - PROVENCE-ALPES-COTES-D'AZUR;DOSES(J07E1);moins de 65 ans;484;2024
94 - CORSE;ACTE(VGP);65 ans et plus;1539;2024
94 - CORSE;DOSES(J07E1);65 ans et plus;4468;2024
94 - CORSE;ACTE(VGP);moins de 65 ans;138;2024
94 - CORSE;DOSES(J07E1);moins de 65 ans;409;2024
